% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 31.31    0.000242          35         7           recvmsg
 19.02    0.000147          21         7         3 connect
 10.09    0.000078          26         3           sendto
  6.34    0.000049           4        12         2 socket
  5.43    0.000042           2        25           close
  4.92    0.000038           6         6           write
  4.27    0.000033           5         7           setsockopt
  2.72    0.000021           4         5           ioctl
  2.46    0.000019          10         2           stat
  2.20    0.000017           3         5           poll
  1.94    0.000015           1        17           openat
  1.68    0.000013           1        19           read
  1.42    0.000011           4         3           rt_sigaction
  1.29    0.000010           1        19           fstat
  1.16    0.000009           3         3           getsockname
  0.78    0.000006           6         1           setitimer
  0.78    0.000006           2         3           recvfrom
  0.78    0.000006           6         1           sysinfo
  0.52    0.000004           4         1           rt_sigprocmask
  0.52    0.000004           4         1           getsockopt
  0.39    0.000003           3         1           getpid
  0.00    0.000000           0        23           mmap
  0.00    0.000000           0        16           mprotect
  0.00    0.000000           0         3           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         9         9 access
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         2           getuid
  0.00    0.000000           0         1           setuid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         7           capget
  0.00    0.000000           0         3           capset
  0.00    0.000000           0         2           prctl
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           sendmmsg
------ ----------- ----------- --------- --------- ----------------
100.00    0.000773                   223        14 total
