% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 14.07    0.000076          11         7           setsockopt
 13.70    0.000074          12         6           write
 11.11    0.000060          12         5         2 socket
  9.07    0.000049           4        12           mprotect
  6.85    0.000037          37         1           sendto
  5.56    0.000030          30         1           recvmsg
  5.19    0.000028           4         7           capget
  3.89    0.000021          21         1           connect
  3.70    0.000020          20         1           munmap
  3.33    0.000018           6         3           rt_sigaction
  2.78    0.000015           5         3           capset
  2.41    0.000013           2         8           close
  2.22    0.000012           6         2           ioctl
  2.04    0.000011           1         8           fstat
  1.85    0.000010           3         3           brk
  1.85    0.000010           5         2           prctl
  1.85    0.000010           1         7           openat
  1.48    0.000008           4         2           getuid
  1.30    0.000007           0        16           mmap
  0.93    0.000005           5         1           setitimer
  0.93    0.000005           5         1           getpid
  0.93    0.000005           5         1           setuid
  0.74    0.000004           4         1           rt_sigprocmask
  0.74    0.000004           4         1           getsockname
  0.74    0.000004           4         1           getsockopt
  0.74    0.000004           4         1           geteuid
  0.00    0.000000           0         5           read
  0.00    0.000000           0         7         7 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
------ ----------- ----------- --------- --------- ----------------
100.00    0.000540                   116         9 total
